Results when running the crawler with the following settings:
	initialURL=http://www.hkbu.edu.hk/eng/main/index.jsp
	maxURLs=100
	maxPoolSize=10

Note: One URL didn't get crawled due to a 403 error.

HTTP error fetching URL for http://buwww.hkbu.edu.hk/eng/about/privacy.jsp
crawler.PageResultException: HTTP error fetching URL
	at crawler.Http.get(Http.java:67)
	at crawler.Crawler.start(Crawler.java:55)
	at crawler.SearchServer.main(SearchServer.java:29)
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.lang.reflect.Method.invoke(Method.java:483)
	at com.intellij.rt.execution.application.AppMain.main(AppMain.java:147)

URL LAST_CRAWLED(EPOCH) WORD FIRST_OCCURRENCE NUM_OCCURRENCES

http://aao.hkbu.edu.hk/en/home/index.php 1477217816522 opening 70 1
http://aao.hkbu.edu.hk/en/home/index.php 1477217816522 forum 36 1
http://aao.hkbu.edu.hk/en/home/index.php 1477217816522 print 10 1
http://aao.hkbu.edu.hk/en/home/index.php 1477217816522 application 13 3
http://aao.hkbu.edu.hk/en/home/index.php 1477217816522 service 104 1
http://aao.hkbu.edu.hk/en/home/index.php 1477217816522 online 21 1
http://aao.hkbu.edu.hk/en/home/index.php 1477217816522 fresh 65 1
http://aao.hkbu.edu.hk/en/home/index.php 1477217816522 revised 106 1
http://aao.hkbu.edu.hk/en/home/index.php 1477217816522 homepage 130 1
https://iss.hkbu.edu.hk/buam/activation 1477217894847 baptist 19 1
https://iss.hkbu.edu.hk/buam/activation 1477217894847 kong 18 1
https://iss.hkbu.edu.hk/buam/activation 1477217894847 hong 17 1
https://iss.hkbu.edu.hk/buam/activation 1477217894847 centre 93 2
https://iss.hkbu.edu.hk/buam/activation 1477217894847 contact 89 1
https://iss.hkbu.edu.hk/buam/activation 1477217894847 all 73 1
https://iss.hkbu.edu.hk/buam/activation 1477217894847 hkbu 102 1
https://iss.hkbu.edu.hk/buam/activation 1477217894847 student 5 2
https://iss.hkbu.edu.hk/buam/activation 1477217894847 university 20 2
https://iss.hkbu.edu.hk/buam/activation 1477217894847 through 26 1
https://iss.hkbu.edu.hk/buam/activation 1477217894847 new 4 2
https://iss.hkbu.edu.hk/buam/activation 1477217894847 tel 99 1
https://iss.hkbu.edu.hk/buam/activation 1477217894847 email 100 1
https://iss.hkbu.edu.hk/buam/activation 1477217894847 edu 103 1
https://iss.hkbu.edu.hk/buam/activation 1477217894847 services 14 3
https://iss.hkbu.edu.hk/buam/activation 1477217894847 service 92 2
https://iss.hkbu.edu.hk/buam/activation 1477217894847 you 25 5
https://iss.hkbu.edu.hk/buam/activation 1477217894847 will 23 1
https://iss.hkbu.edu.hk/buam/activation 1477217894847 guide 24 1
https://iss.hkbu.edu.hk/buam/activation 1477217894847 website 22 1
https://iss.hkbu.edu.hk/buam/activation 1477217894847 chinese 3 1
https://iss.hkbu.edu.hk/buam/activation 1477217894847 before 67 1
https://iss.hkbu.edu.hk/buam/activation 1477217894847 sign 9 3
https://iss.hkbu.edu.hk/buam/activation 1477217894847 during 85 1
https://iss.hkbu.edu.hk/buam/activation 1477217894847 your 31 2
https://iss.hkbu.edu.hk/buam/activation 1477217894847 please 39 2
https://iss.hkbu.edu.hk/buam/activation 1477217894847 activation 7 2
https://iss.hkbu.edu.hk/buam/activation 1477217894847 access 71 1
https://iss.hkbu.edu.hk/buam/activation 1477217894847 provided 76 1
https://iss.hkbu.edu.hk/buam/activation 1477217894847 demo 106 1
https://iss.hkbu.edu.hk/buam/activation 1477217894847 englishtraditional 1 1
https://iss.hkbu.edu.hk/buam/activation 1477217894847 ssoid 11 2
https://iss.hkbu.edu.hk/buam/activation 1477217894847 chinesesimplified 2 1
https://iss.hkbu.edu.hk/buam/activation 1477217894847 account 6 3
https://iss.hkbu.edu.hk/buam/activation 1477217894847 should 57 2
https://iss.hkbu.edu.hk/buam/activation 1477217894847 welcome 15 1
https://iss.hkbu.edu.hk/buam/activation 1477217894847 our 90 1
https://iss.hkbu.edu.hk/buam/activation 1477217894847 can 69 1
https://iss.hkbu.edu.hk/buam/activation 1477217894847 resources 75 1
https://iss.hkbu.edu.hk/buam/activation 1477217894847 complete 47 1
https://iss.hkbu.edu.hk/buam/activation 1477217894847 process 49 2
https://iss.hkbu.edu.hk/buam/activation 1477217894847 any 83 1
https://iss.hkbu.edu.hk/buam/activation 1477217894847 hotline 101 1
https://iss.hkbu.edu.hk/buam/activation 1477217894847 ito 91 2
https://iss.hkbu.edu.hk/buam/activation 1477217894847 assistance 84 1
https://iss.hkbu.edu.hk/buam/activation 1477217894847 need 82 1
https://iss.hkbu.edu.hk/buam/activation 1477217894847 view 105 1
https://iss.hkbu.edu.hk/buam/activation 1477217894847 single 8 3
https://iss.hkbu.edu.hk/buam/activation 1477217894847 gain 70 1
https://iss.hkbu.edu.hk/buam/activation 1477217894847 buam 0 1
https://iss.hkbu.edu.hk/buam/activation 1477217894847 follow 40 2
https://iss.hkbu.edu.hk/buam/activation 1477217894847 step 43 2
https://iss.hkbu.edu.hk/buam/activation 1477217894847 activate 58 1
https://iss.hkbu.edu.hk/buam/activation 1477217894847 wizard 42 1
http://ioc.hkbu.edu.hk/ 1477217860673 institute 0 1
http://ioc.hkbu.edu.hk/ 1477217860673 creativity 2 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 copyright 1563 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 education 5 7
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 about 420 2
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 years 1490 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 visual 1540 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 knowledge 816 2
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 baptist 1569 2
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 kong 401 10
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 hong 400 10
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 reserved 1573 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 students 33 4
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 teaching 45 5
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 global 348 2
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 current 696 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 rights 530 2
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 departments 128 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 arts 731 5
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 staff 99 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 marketing 930 3
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 information 231 3
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 publications 69 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 experience 757 2
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 academic 1489 2
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 contact 119 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 from 1068 3
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 creativity 1100 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 international 1007 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 day 269 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 all 23 4
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 hkbu 7 2
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 campus 77 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 history 356 10
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 transfer 40 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 full 1554 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 student 73 2
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 university 35 9
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 learning 46 4
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 media 70 9
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 life 36 10
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 general 4 5
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 buniport 151 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 society 456 7
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 award 58 5
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 make 134 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 green 522 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 sports 1229 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 previous 1488 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 home 8 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 with 230 3
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 management 894 2
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 due 141 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 administrative 1585 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 other 146 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 scheme 81 2
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 how 1081 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 programme 18 3
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 opportunities 48 2
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 self 517 2
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 through 486 5
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 new 858 2
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 development 476 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 film 487 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 financial 834 2
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 interest 518 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 studies 1012 3
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 requirements 1505 2
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 enrollment 55 3
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 email 1576 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 office 16 2
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 edu 1579 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 communication 973 3
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 post 97 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 personal 779 3
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 internet 1287 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 latest 154 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 services 790 4
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 service 49 11
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 building 311 2
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 road 1589 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 fax 1575 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 you 1170 2
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 world 223 19
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 address 1581 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 public 187 3
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 family 540 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 invitation 1227 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 figures 1340 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 faculty 98 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 events 74 3
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 its 464 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 design 1095 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 news 1008 3
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 committee 13 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 china 345 9
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 chinese 168 20
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 work 208 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 literature 645 2
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 social 935 2
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 technology 232 3
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 your 247 3
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 please 148 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 change 939 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 uses 839 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 maintenance 1212 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 dance 299 3
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 philosophy 10 2
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 love 571 2
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 gender 381 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 eyes 806 2
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 top 1562 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 modern 352 7
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 may 133 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 people 1296 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 contemporary 451 5
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 calligraphy 1053 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 back 1560 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 today 693 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 creative 967 3
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 medicine 1208 3
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 offering 127 2
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 understanding 482 6
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 our 222 4
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 long 228 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 seeing 1078 3
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 culture 364 13
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 outlook 653 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 cultural 465 2
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 science 1188 5
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 aab 1582 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 sciences 1548 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 european 374 2
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 comparative 1301 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 issues 382 4
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 following 138 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 tong 1591 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 europe 1320 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 economic 864 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 political 1325 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 politics 1302 2
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 introduction 739 2
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 music 455 7
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 interdisciplinary 47 2
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 outstanding 64 2
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 everyday 205 5
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 developing 907 2
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 last 1480 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 production 1020 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 digital 214 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 environment 1173 2
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 health 789 10
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 off 76 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 dream 776 2
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 death 551 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 nature 803 4
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 heritage 436 2
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 christian 506 2
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 standard 304 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 body 310 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 matters 547 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 business 284 10
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 english 178 5
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 click 1495 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 course 54 6
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 economy 349 3
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 achievement 84 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 ige 163 42
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 kownloon 1590 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 addition 113 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 proposal 104 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 faqs 44 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 phone 1574 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 exemptions 39 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 share 79 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 art 579 4
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 practices 62 2
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 call 101 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 practicum 991 2
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 leaders 83 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 good 59 3
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 assessment 68 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 zone 95 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 protocols 114 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 courses 1 12
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 revision 112 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 institutional 53 2
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 gdbu 827 26
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 challenges 555 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 policies 109 2
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 units 43 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 leadership 50 12
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 coverage 71 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 overview 9 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 implementation 108 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 cross 52 2
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 say 34 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 universy 1570 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 structure 20 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 planning 903 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 making 491 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 action 1271 2
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 principles 1163 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 code 160 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 physical 1521 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 medical 747 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 available 158 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 successful 909 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 review 651 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 generation 837 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 writing 1025 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 various 1345 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 lives 725 1
http://ge.hkbu.edu.hk/courses/current-year/ 1477217894095 musical 467 2
